ID,Mass_ground_truth,RA,DEC,tau_lim_lo,tau_lim_hi,sig_lim_lo,sig_lim_hi,mu,u_band,g_band,r_band,i_band,z_band,z,M_i,ug,gr,ri,iz,zu,tau,sigma
23517,9.217486248,0.244895,0.586257,-0.031624,2.15624,-1.45949,-0.118747,20.2142,20.21914286,19.8017551,19.36812245,18.90314286,18.80983673,1.6547,-26.098,0.41738776,0.43363265,0.46497959,0.09330613,-1.40930613,0.850845,-0.35343
34980,8.389712759,0.268872,0.464949,1.63115,2.3687,-0.203768,-0.012288,21.0123,20.99623077,20.66412821,20.70315385,20.47112821,20.44369231,0.5517,-22.25,0.33210256,-0.03902564,0.23202564,0.0274359,-0.55253846,1.87919,-0.07711
103979,7.601897585,0.288026,-0.689356,1.99606,3.86979,-0.646129,-0.41787,19.1,19.18466667,18.91242857,18.7422381,18.59057143,18.308,0.4166,-22.824,0.2722381,0.17019047,0.15166667,0.28257143,-0.87666667,2.20093,-0.489819
23343,8.660310839,0.296657,-0.336535,2.35911,4.2865,-0.717708,-0.523129,19.363,19.32808163,18.754,18.63281633,18.35322449,18.25446939,0.5178,-23.894,0.57408163,0.12118367,0.27959184,0.0987551,-1.07361224,2.53073,-0.577393
37210,8.955490106,0.301832,-0.008137,1.92001,4.25861,-0.59667,-0.27148,20.5972,20.67238596,20.61649123,20.3272807,20.26163158,20.31622807,1.4186,-24.335,0.05589473,0.28921053,0.06564912,-0.05459649,-0.35615789,2.16271,-0.330168
78206,8.8756963,0.32667,-1.039395,2.87404,4.58467,-0.849118,-0.599454,19.9615,20.10308621,19.97713793,19.83981034,19.60772414,19.39903448,1.9685,-25.95,0.12594828,0.13732759,0.2320862,0.20868966,-0.70405173,3.22309,-0.711157
104744,8.695406336,0.327907,0.553922,2.58561,4.46582,-0.541789,-0.313329,20.8209,20.81497727,20.79956818,20.56684091,20.52888636,20.45281818,1.4003,-24.289,0.01540909,0.23272727,0.03795455,0.07606818,-0.36215909,2.75054,-0.384861
233,8.921718167,0.331289,0.17723,1.62701,3.0311,-0.636571,-0.236789,20.5453,20.45448889,20.21706667,20.25762222,20.04682222,20.14124444,1.6199,-24.735,0.23742222,-0.04055555,0.2108,-0.09442222,-0.31324445,1.87484,-0.31862
25512,8.741081522,0.354767,0.002622,2.0766,4.2146,-0.793171,-0.504818,19.8584,19.78572897,19.72578505,19.56580374,19.28388785,19.01628037,1.9737,-25.985,0.05994392,0.15998131,0.28191589,0.26760748,-0.7694486,2.45139,-0.598496
117411,9.300230982,0.415972,-0.620423,2.71428,4.48453,-0.759988,-0.578204,19.8163,19.8340678,19.90066102,19.93455932,19.58977966,19.58954237,1.8331,-26.01,-0.06659322,-0.0338983,0.34477966,0.00023729,-0.24452543,2.84018,-0.636766
