ID,Mass_ground_truth,Mass_prediction,z_ground_truth,z_prediction,z_error_prediction
2110298,8.187260627999999,8.892742157,2.396899939,2.003832579,0.741163893
269884,8.740440369,8.74982357,1.467900038,1.3905079359999999,0.101779005
655926,9.132857323,8.984713553999999,1.458600044,1.417002916,0.105368973
147296,8.527032852,9.209005356,1.3733999730000002,1.33460474,0.128870764
2610159,9.09912014,9.10997963,0.596300006,0.934117615,0.523385544
282715,8.823904037,8.922901154,1.680999994,1.606402874,0.367922615
1400578,8.390357971,9.229379654,0.7761999959999999,1.9251241680000002,0.127812536
1120467,8.58423996,8.289340973,0.9659000040000001,1.003307223,0.149661134
637438,8.412731171,8.602816582,0.9283000229999999,1.0148952009999999,0.406100319
1262253,8.181023598,8.381094933,0.40450000799999997,3.1843180660000003,4.23723953
4021063,8.562981606000001,8.575500488,1.7145999669999998,1.718594432,0.11295103199999999
3800065,7.866974831,8.594232559,2.397000074,2.494211435,1.049027749
3957697,8.130663872000001,8.993396759,0.42160001399999997,1.366365075,0.65916895
1192753,9.32748127,8.929507256,1.826300025,1.7090541119999998,0.121111265
2550778,9.075293541,9.193552971,2.335400105,2.2936346530000002,0.413661114
2597579,8.505662917999999,8.705550194,0.35339999200000005,0.25451678,0.407887844
1568160,8.492357254,8.811892509,0.7756999729999999,1.486708045,0.528185561
3931288,9.309908867,8.857789992999999,2.160399914,1.172946572,0.475767536
2053146,8.716364861,8.554409981000001,1.696799994,1.694432259,0.102655925
2555100,9.181760788,9.052143097,0.546400011,0.444098175,0.170854007
654638,8.918985367000001,8.789130211,1.131600022,1.023369551,0.114902155
2522266,8.096821785,8.729589462,1.292099953,1.5238968130000001,0.311278423
3773929,8.843255043,8.92510128,1.120000005,1.1885412929999999,0.106560155
1610833,8.511416435,8.541165352,0.834299982,0.876730502,0.31381287199999996
3105845,9.389781952,9.013422012000001,2.319900036,2.36321187,0.227783808
489049,9.000980377000001,8.567312241,0.51789999,0.598813057,0.33145972
2491958,8.105952262999999,8.623397827,1.113600016,1.1476160290000001,0.092027764
1163677,8.158750534,8.540859222,2.112400055,1.6191966530000002,0.632239871
592970,8.999328613,8.785691261,0.7207000259999999,1.865683079,0.541630365
1020058,8.92128849,8.974953651,1.8753999469999998,1.784540653,0.141410646
1021519,8.77408123,8.89640522,1.302800059,1.356213689,0.09440782800000001
432265,9.771417618,9.285449028,1.33949995,0.897702634,0.328096116
3501770,8.350964546,9.051387787000001,0.486000001,1.294884443,0.8664419040000001
552880,8.395024300000001,8.639814377,0.938899994,0.896290183,0.133460574
2595282,9.182624817,9.041675567999999,1.8751000169999998,1.8260991569999998,0.081255781
521037,9.098310471,8.481847763,2.110399961,2.099933624,0.128793544
963633,9.50418663,9.041573524,2.353399992,2.368115425,0.297877726
1833218,9.327305793999999,9.095216751,1.308899999,1.1552721259999998,0.107903506
698463,8.757511139,9.065664291000001,0.745000005,0.73754102,0.314410343
3419645,9.132205962999999,9.062274933,2.369800091,2.334201097,0.6193694160000001
871620,8.510263443,8.599405289,1.481699944,0.575105071,0.300564143
1875045,8.279569626,8.857017517000001,1.852100015,1.658337235,0.17682757
1045155,8.22082901,8.627800941,0.625400007,0.9271155000000001,0.529016005
