File Name (.csv),P-Value,Pearson Coefficient,Spearman Coefficient,RMSE,OLF_1sigma,OLF_2sigma,mean_error
2020-06-04rejection_pred0.1.csv,7.441154238951618e-124,0.5113301458427603,0.5121323722724169,0.41304183146695755,26.850351161534302,3.8357644516477607,0.44404110094952887
2020-06-04rejection_pred0.2.csv,4.676858160838166e-123,0.509892985828509,0.50795999192624,0.41267673008833045,27.066450567260937,3.997839005942738,0.44205713668567004
2020-06-04rejection_pred0.3.csv,1.1475535323074511e-118,0.5018649574897286,0.5033820091321441,0.41443476733630974,27.498649378714212,3.997839005942738,0.4400273056775389
2020-06-04rejection_pred0.7.csv,6.3623345264269e-108,0.4812625934080231,0.48551524099870996,0.42308842420946374,29.281469475958943,3.5116153430578056,0.4500908697252915
2020-06-04rejection_pred0.6.csv,5.502739102694144e-115,0.4949642932033053,0.49277319919402623,0.41810086064695445,29.17341977309562,3.673689897352783,0.4433467474236788
2020-06-04rejection_pred0.4.csv,6.056328416893246e-120,0.5042235536179694,0.5029921574624725,0.41347653324699685,27.336574824419234,3.997839005942738,0.43896523132605836
2020-06-04rejection_pred0.5.csv,6.807292192642844e-118,0.5004284585900259,0.5035956990348003,0.4151480387087914,28.03889789303079,3.9438141545110716,0.43973962107267495
2020-06-04rejection_pred0.8.csv,2.2042984603424876e-104,0.4741540807596775,0.4796840386671757,0.4258379143402099,27.55267423014587,2.8633171258779067,0.46741136625845137
2020-06-04rejection_pred0.9.csv,1.1511986457307755e-95,0.45589481690490674,0.45978092759516126,0.4286103744385729,23.28471096704484,1.7828200972447306,0.5088949294095179
z_stats_zpred.csv,0.039477013477677236,-0.6905138085354628,-0.8333333333333333,40.03821822733102,100.0,100.0,9.286271684975086
