,ID,ra,dec,z,BH_mass
130,41060,3.954523,0.292229,3.0661,8.937
131,41684,2.627306,1.001683,0.378,0.0
132,41863,2.201872,-0.121595,1.5652,0.0
133,42386,0.331015,-1.209549,2.2135,8.946
134,42433,0.861154,0.19922,1.8518,10.008
135,42444,2.021588,-0.662987,1.9248,0.0
136,42641,0.844205,-0.494774,0.651,0.0
137,42942,0.22122,-0.620238,1.3201,9.026
138,43198,3.843105,-0.680664,0.83,0.0
139,43590,1.200359,-0.389388,1.7257,0.0
140,44039,4.475696,1.189831,1.4649,9.036
141,44321,0.239919,1.116289,2.5538,9.103
142,44617,1.668659,0.785318,1.8475,0.0
143,45027,2.788218,-0.984289,1.6608,0.0
144,45415,4.240668,0.937446,1.8847,9.316
145,45600,1.08761,-0.567536,1.4603,9.148
146,45836,3.031127,0.451987,0.4139,8.01
147,46357,0.583719,-0.873029,2.235,0.0
148,46359,0.478713,-0.369185,1.1661,8.549
149,46915,0.242602,-0.779604,1.8951,9.167
150,47417,3.768117,-0.910887,0.6497,9.04
151,48090,3.353617,0.804893,1.857,0.0
152,49023,1.520743,-1.249816,2.4993,8.919
153,49159,0.027228,0.515349,1.8227,0.0
154,49422,2.592211,-0.371331,0.8589,7.965
155,50026,0.064492,0.87968,1.8476,9.414
156,50066,4.670013,-0.938563,1.6655,8.776
157,50183,3.226554,-1.144053,3.1454,9.033
158,50411,1.755543,0.378437,0.888,9.294
159,50504,2.790013,0.762671,1.4778,9.031
160,50598,2.723181,0.111925,1.8734,9.478
161,51135,3.007815,0.883258,1.6519,9.247
162,51217,4.020003,-0.278392,2.0132,8.451
163,51380,1.935914,-0.914254,1.2675,8.972
164,51476,3.123811,0.010529,2.0351,9.332
165,51852,4.868895,0.294697,1.8039,0.0
166,51944,2.662003,-0.862181,1.5169,9.167
167,51980,3.322757,-0.109955,0.6812,8.369
168,52721,4.565726,0.275677,0.5755,0.0
169,52766,1.21578,1.211084,1.5513,8.872
170,53132,3.987847,0.806224,2.3131,8.998
171,54008,2.091958,-0.38411,3.0641,9.66
172,54088,4.199293,1.205634,1.4906,0.0
173,54554,1.958546,-0.154086,0.7993,8.563
174,54929,4.449136,-0.304419,2.499,9.517
175,55571,2.614263,0.492441,1.2139,8.758
176,56217,3.650723,-0.882238,1.1493,0.0
177,56423,1.473827,-1.021585,0.632,0.0
178,56486,4.43513,-0.100706,1.6424,0.0
179,57317,1.558346,0.434743,2.518,9.504
180,57324,2.576269,-1.167869,1.7782,8.768
181,57383,1.691602,-0.811157,1.9983,0.0
182,57676,4.074893,0.172469,1.5489,9.132
183,57957,4.460848,0.761962,1.4039,0.0
184,58172,0.910728,0.075561,2.0928,9.229
185,58697,1.286916,0.435657,0.6686,9.335
186,59177,1.722136,0.026604,1.9425,0.0
187,59644,1.316381,-0.625197,0.4764,8.753
188,59850,0.888592,-0.745361,0.6591,0.0
189,61001,2.186254,0.430718,2.1224,9.663
190,61062,2.278901,0.547959,2.6255,9.31
191,62620,1.175142,0.505852,1.7682,0.0
192,62907,0.162498,-0.301102,2.1224,9.606
193,63007,2.163799,-0.893578,2.619,0.0
194,63081,2.699959,-0.308379,0.8927,0.0
195,63307,4.528672,-0.759751,1.0479,8.345
196,63404,2.735597,0.46781,1.4217,8.927
197,63511,2.000279,-0.005939,0.7586,8.191
198,63621,2.730878,0.508958,1.2331,8.532
199,64133,3.138942,1.002885,1.2141,9.057
200,64539,4.862732,-0.373893,1.2743,9.479
201,65639,1.122796,-0.361882,0.6143,0.0
202,65793,2.342483,0.098788,1.9968,0.0
203,65869,1.488523,0.477166,0.2595,0.0
204,66246,4.299621,-0.266859,0.6207,0.0
205,66260,1.979156,-1.035193,1.584,8.931
206,66311,3.240691,1.100874,1.0629,8.967
207,66533,3.167657,0.409358,2.6165,9.585
208,66552,4.049424,-1.088469,2.0862,9.361
209,66572,0.719683,-0.058616,3.6829,0.0
210,67239,1.689234,0.103872,1.0308,8.774
211,67243,3.071199,-0.910472,3.603,9.977
212,68390,0.13278,1.051468,1.0925,8.153
213,68411,2.876667,0.964393,1.4915,8.796
214,68557,4.912918,-1.171284,1.2602,9.002
215,68572,4.677851,0.845037,1.9871,8.978
216,68664,1.192438,-0.053787,1.6027,0.0
217,68983,1.820793,-0.682358,1.2596,8.766
218,69026,3.39501,0.590053,2.0754,0.0
219,69061,2.610454,0.258898,2.3998,0.0
220,69091,1.377789,1.042592,0.6341,8.264
221,69726,1.241286,0.426283,1.7023,0.0
222,69758,2.878704,-0.110813,1.2193,0.0
223,69766,2.365029,1.182139,1.6703,9.195
224,69839,0.178746,0.92766,0.9512,8.983
225,70553,0.763851,0.172121,1.5221,9.018
226,70861,0.981211,0.126804,1.0274,8.99
227,71013,4.801654,0.055446,1.3718,8.722
228,71115,1.932444,-0.409011,1.54,9.36
229,71209,1.975967,-1.081639,0.9163,8.288
230,71214,4.958593,-0.678021,4.3275,9.287
231,71555,1.899968,-1.015717,1.281,0.0
232,72173,4.843984,-0.154174,1.6971,9.23
233,72303,3.294309,-0.42559,1.5286,8.086
234,72452,4.380306,-0.816482,1.3565,9.106
235,72465,4.284401,-0.645684,2.1011,0.0
236,72837,1.55767,0.319235,0.5523,8.591
237,72931,3.0528,-0.019368,1.6764,9.334
238,72937,0.509743,-0.446803,2.2124,0.0
239,73403,1.969004,0.35285,1.2703,9.335
240,73692,0.542136,-0.958597,1.9629,9.366
241,74173,1.509042,-0.899487,1.8554,0.0
242,74302,2.763265,0.990892,0.4863,7.647
243,74740,2.592272,-0.616998,3.152,0.0
244,75080,4.518035,1.008723,1.344,8.704
245,75911,2.917703,0.949109,0.7134,0.0
246,75987,1.634621,0.118719,0.9171,0.0
247,76303,4.32011,-1.123758,1.1631,8.522
248,76601,0.397978,-0.701886,3.5779,9.536
249,77219,1.791724,0.89142,0.3162,9.176
250,77441,3.238555,1.257597,0.5038,8.714
251,77601,2.6827,-0.291569,1.296,8.984
252,78206,0.32667,-1.039395,1.9685,8.826
253,78621,0.813657,0.039197,1.5293,9.168
254,78713,0.587986,0.363712,3.057,9.476
255,79006,3.584101,1.203534,2.1738,8.324
256,79566,4.568877,0.818738,1.2029,8.268
257,79609,4.133753,1.232152,1.4927,8.86
258,79963,2.031392,0.271952,1.478,9.154
259,80524,4.069673,-0.710715,0.7679,0.0
260,80641,2.303743,0.084568,1.7369,0.0
261,81005,1.424531,-1.069741,2.1178,9.279
262,81061,3.998282,0.703586,1.3358,9.091
263,81140,1.251764,-0.563412,2.1733,9.635
264,82001,0.192318,-0.501993,1.4354,9.068
265,82447,0.875796,0.137006,2.568,10.033
266,82552,1.148969,-1.221839,0.5074,8.338
267,82616,1.533512,-1.116862,0.9486,9.239
268,82957,4.822145,0.459838,2.4183,9.52
269,83042,3.898095,0.898913,1.3587,8.735
270,83252,2.194558,0.290413,1.6863,9.082
271,83360,2.124077,-0.117824,1.6481,8.625
272,83436,1.253511,1.050947,1.6292,9.066
273,83896,3.196334,0.210979,2.1528,9.285
274,84284,4.48711,-0.789755,1.8138,0.0
275,84414,3.616423,1.225887,2.1801,8.238
276,84783,4.524635,-1.195299,2.0294,0.0
277,85167,4.603987,0.257193,2.4295,0.0
278,85843,4.152959,-1.091693,1.5878,0.0
279,85979,2.880934,0.788429,1.8787,8.887
280,86168,3.098463,-0.946021,1.6072,0.0
281,86234,2.017611,-0.656376,1.608,0.0
282,86582,0.126576,-0.459005,1.803,0.0
283,87638,1.272717,-0.036345,1.8281,0.0
284,87740,2.26841,-0.725787,1.8286,9.402
285,87776,3.444402,0.701511,1.5492,0.0
286,88077,1.910562,0.976522,1.8458,8.314
287,88302,4.651704,-0.492522,1.8525,0.0
288,88455,3.585171,-0.605665,0.9589,0.0
289,88587,0.536801,-0.295183,0.6519,8.359
290,88738,0.365808,-0.465573,1.3368,8.546
291,88853,1.747041,-0.294691,2.0159,8.845
292,89008,3.074112,0.554457,1.3072,8.334
293,89200,4.4965,-1.095431,1.5714,9.278
294,90848,3.642231,0.499218,1.345,0.0
295,90959,3.5678,-0.39937,0.9808,8.592
296,91361,4.316313,0.652264,0.8147,8.827
297,91514,2.574172,1.080763,1.818,9.22
298,91788,2.430708,1.083279,0.4557,8.645
299,91794,1.379439,0.164168,0.9406,8.836
300,92171,0.790873,-0.710618,1.3966,9.024
301,92315,2.57737,-0.969552,0.6269,9.341
302,92483,3.750599,1.255313,0.5681,0.0
303,92997,4.444053,0.945562,1.8271,0.0
304,93235,2.697765,0.316777,0.7481,8.931
305,93336,3.238387,0.619385,0.7615,0.0
306,93960,4.2375,0.925596,1.7561,8.908
307,94119,4.577933,0.452568,3.3474,0.0
308,94538,4.316056,-1.166542,1.8995,9.51
309,95334,0.136254,-0.920266,1.5247,8.563
310,96715,0.627969,0.833065,1.3527,0.0
311,97530,3.527148,-1.133262,1.1557,9.023
312,97612,4.171557,1.012579,3.0384,9.559
313,97938,1.244214,0.915992,1.2084,0.0
314,99212,3.466754,-0.316881,1.1654,8.353
315,99273,2.065339,0.754484,1.0933,8.912
316,99516,1.121598,0.596654,1.3021,8.88
317,99669,1.06862,-0.883526,2.0201,8.8
318,100286,2.95684,-0.457483,2.7067,0.0
319,100520,1.25225,1.039129,2.1189,9.794
320,100539,4.394923,-0.318985,2.1127,9.661
321,100759,4.143152,-1.10633,3.6447,9.607
322,100801,3.275631,0.075532,2.1649,9.808
323,101129,2.922525,-0.789623,1.6483,8.893
324,101690,0.173268,1.095974,1.5452,0.0
325,101718,4.299875,0.169217,2.9278,0.0
326,101818,2.051212,0.220122,1.051,8.598
327,101965,2.599709,1.010965,1.3826,8.778
328,102187,2.815377,1.249789,0.5804,8.023
329,103425,4.94565,-1.13669,2.1166,8.743
330,103455,2.941951,1.115262,2.0065,0.0
331,103646,1.852811,-0.851678,1.4123,8.925
332,103913,2.753653,-0.258929,0.8925,8.823
333,103979,0.288026,-0.689356,0.4166,7.667
334,104193,4.013931,-1.25397,1.416,8.703
335,104392,1.854943,0.612525,2.0335,9.641
336,104744,0.327907,0.553922,1.4003,8.519
337,104962,4.500853,0.767457,1.9004,9.505
338,105857,3.009802,0.887223,1.6415,0.0
339,106285,4.562317,-0.274639,1.9218,0.0
340,106325,1.541964,0.433284,1.0264,7.879
341,106501,4.838458,-0.003155,0.9353,0.0
342,106565,2.333394,0.938468,2.3863,8.626
343,106691,3.759431,0.203458,2.8515,0.0
344,106772,0.703861,0.946744,1.2936,0.0
345,106913,4.840554,0.125058,1.0269,0.0
346,107313,2.300328,0.971726,2.6779,8.858
347,107687,0.95193,-0.732052,0.8981,8.395
348,107867,4.522982,-0.446479,1.4893,0.0
349,108155,4.298178,-0.412673,0.7764,8.795
350,108734,2.520697,-0.818556,1.9748,0.0
351,109176,1.740158,-1.066323,1.4358,9.278
352,109511,1.22191,-0.591963,1.5709,0.0
353,109616,0.175095,-0.750388,1.3077,0.0
354,109828,1.337485,-0.330088,1.0423,0.0
355,110814,4.841344,-0.902071,1.6186,0.0
356,111226,4.56236,0.227867,1.8838,0.0
357,111304,2.468435,1.12159,1.0233,0.0
358,111332,0.985694,-1.025447,0.9103,8.333
359,111809,3.714814,0.948749,1.4684,9.127
360,111817,4.807331,0.422502,1.5711,0.0
361,112497,3.24121,1.257795,1.1789,8.654
362,113067,0.051076,-0.539049,1.4365,8.51
363,113139,3.155648,-0.449795,1.9172,0.0
364,113426,4.417614,-0.898068,2.086,0.0
365,113577,3.506435,0.476192,1.4124,8.614
366,113761,0.946694,0.895754,0.5785,0.0
367,114012,2.159572,-0.865801,2.8892,9.182
368,114109,1.436354,-0.951852,2.1113,0.0
369,114191,1.184301,1.010112,1.4297,8.741
370,114499,1.44362,0.388093,1.3531,8.635
371,114502,3.722344,-0.474351,1.9226,0.0
372,114724,2.533449,0.671726,1.8919,0.0
373,114767,3.719399,0.666269,1.4757,8.902
374,114880,3.835614,0.454602,3.6866,9.954
375,115002,4.12386,-0.493693,1.2636,0.0
376,115016,3.364672,1.112921,3.078,9.496
377,117097,1.954857,0.688786,4.7834,0.0
378,117163,2.254239,-0.051868,0.7117,0.0
379,117411,0.415972,-0.620423,1.8331,9.125
380,117460,0.693657,-0.104281,1.7127,0.0
381,118148,4.536279,-0.952841,1.335,9.289
382,118205,4.977512,0.687273,1.9081,9.043
383,118616,4.197948,0.661995,1.7046,0.0
384,118629,2.016163,-0.660855,2.093,8.252
385,118721,3.342863,-1.210948,2.3002,9.043
386,119185,0.193415,1.239118,3.7592,0.0
387,119730,2.511848,1.068765,1.4457,9.033
388,119992,1.914788,-0.08885,1.9023,0.0
389,120082,1.443696,-0.403879,1.7298,8.959
390,120817,4.718141,-1.09018,2.8916,0.0
391,121008,4.111939,-1.230513,1.2163,8.692
392,121143,3.363805,0.875562,0.3625,0.0
393,121749,2.529255,0.49646,1.7318,0.0
394,122080,2.877324,0.930756,2.3086,0.0
395,122562,2.388915,0.737431,0.9481,0.0
396,122682,2.896118,-1.239437,1.8574,9.481
397,123137,3.377385,0.30397,1.8442,8.813
398,123189,3.682044,-1.201784,2.7171,9.489
399,123356,2.115444,1.247824,1.2938,8.665
400,123709,4.620898,0.587713,1.1599,0.0
401,123909,4.110588,0.609013,3.2262,0.0
402,124689,2.439445,0.226963,0.6976,8.647
403,125164,0.033898,0.276304,1.8365,0.0
404,125207,3.89447,-1.188553,0.4065,8.38
405,125388,1.216108,-0.201036,1.0278,8.729
406,125422,1.823883,-0.469827,1.8856,0.0
407,126066,0.508316,0.761275,1.4364,9.013
408,126217,3.097158,-1.156306,1.4387,8.623
409,126424,1.705485,0.657036,1.5878,0.0
410,126986,3.345127,1.230064,1.7141,0.0
411,127248,4.83385,-0.377073,2.1581,0.0
412,127330,2.685091,0.562444,2.5514,8.595
413,127549,3.898812,-0.187314,1.2959,8.881
414,127950,4.502518,-1.256388,1.5767,0.0
415,128178,4.189573,-0.732633,2.2499,8.906
416,128761,1.663198,0.472515,2.2015,9.134
417,128895,2.302902,1.155281,2.4708,9.588
418,129274,4.763642,-0.706504,1.0759,0.0
419,129550,1.904739,0.334232,1.1003,9.02
420,129563,1.413709,-1.045516,0.8663,8.428
421,129859,4.990034,0.66008,0.9945,8.699
422,129886,4.770138,0.576823,2.1178,9.759
423,130405,3.659519,-1.130607,1.8156,8.918
424,130457,3.019313,-0.687146,1.3344,9.205
425,130965,2.007176,0.770382,1.9162,0.0
426,131141,0.818289,-0.125675,3.1795,8.84
427,131196,4.665969,-0.217524,1.5892,9.109
428,131280,1.657871,-0.311776,0.9892,8.533
429,131569,3.518545,1.210411,2.1679,9.177
430,131901,3.939002,0.13962,0.371,0.0
431,132216,0.182121,-0.229501,2.1938,0.0
432,132269,0.776006,-0.825122,1.0506,9.295
433,132784,0.214856,0.20071,3.8806,0.0
434,133277,2.29522,0.674633,1.7869,8.509
435,133470,0.237056,-1.069386,2.1065,0.0
436,133537,3.567723,-1.232198,2.0841,0.0
437,133669,0.634677,-0.341632,2.1851,0.0
438,133735,3.735484,-0.018897,2.6406,9.509
439,133895,3.903284,0.632594,1.3722,0.0
440,134148,4.080112,0.416936,1.8631,0.0
441,134883,13.651461,0.848784,2.2361,8.853
442,134930,14.364506,-0.024372,0.6571,0.0
443,135017,11.501101,-0.356228,1.9187,8.602
444,135101,12.462144,0.05837,1.3292,8.197
445,135413,14.195116,1.081248,1.996,9.172
446,135607,14.772492,-0.783715,1.5606,8.972
447,135718,10.710589,1.034984,0.5995,8.046
448,135974,14.14116,-0.440357,1.6996,9.286
449,136734,11.058516,-0.706243,1.704,0.0
450,136787,11.473668,-0.048858,2.2241,8.809
451,136829,11.809029,-0.459229,1.2537,9.026
452,137090,10.731206,0.939658,1.5761,0.0
453,137822,12.025239,0.773245,2.3585,8.952
454,138158,10.133773,-0.23079,0.2419,8.332
455,138442,10.614483,0.237863,0.6061,8.79
456,138639,13.452704,-0.365866,3.984,0.0
457,138860,10.31682,0.003566,2.1175,9.002
458,139265,12.463248,-0.987768,1.5404,8.679
459,139750,11.175304,-0.702855,0.5576,8.121
460,139949,12.823184,0.432042,1.7484,0.0
461,140339,11.008005,-0.567084,1.8149,0.0
462,140509,14.320832,-0.409221,2.7118,9.744
463,140558,11.693784,1.216326,2.0895,0.0
464,141146,10.449573,0.672989,1.8225,0.0
465,141616,13.728932,1.017448,1.0639,8.598
466,141827,14.4921,-1.068237,1.2955,9.081
467,141918,14.322353,-0.020353,2.1567,9.234
468,141979,12.218408,-0.408553,2.6957,0.0
469,142088,14.481429,0.430899,1.6132,0.0
470,142102,11.513721,0.124873,2.5608,8.935
471,142217,13.425668,0.865843,1.4406,8.717
472,142626,14.410171,-0.776762,1.3978,8.034
473,142773,10.843203,-0.22881,1.5927,9.429
474,142808,13.512434,0.960777,2.4105,9.387
475,142916,10.119863,-0.636058,0.7268,8.651
476,143320,10.541363,0.362748,1.7624,0.0
477,143929,10.650781,-0.439765,1.5398,8.917
478,144096,12.329079,0.435977,1.9437,0.0
479,144325,11.886388,0.353148,2.8785,0.0
480,144426,11.843349,1.171958,1.7378,9.472
481,144562,11.801907,-0.812358,1.4142,8.964
482,145336,10.774669,-0.777129,0.8482,8.716
483,146150,13.751584,0.94375,1.4553,9.218
484,146771,13.685982,-0.779382,0.8375,0.0
485,146776,12.580103,0.013946,2.0364,7.969
486,147204,14.656625,-1.193319,2.0686,9.014
487,147296,13.991685,-0.336296,1.3734,8.37
488,147308,10.531044,-0.958412,1.5496,9.156
489,147934,13.987564,0.992618,1.305,8.605
490,149455,12.53537,1.225038,1.1376,8.679
491,149625,11.691681,0.458245,0.4667,9.043
492,150008,13.771486,-0.619022,0.7135,8.984
