,Unnamed: 0,SDSS_Name,ra_DR7,dec_DR7,M,ERR,ID,ra_S82,dec_S82,z
8888,8887,234453.95-002854.4,356.22479248046875,-0.481784999370575,9.085158849514542,0.14181831313280738,3978329,356.224792,-0.481785,1.5567
1053,1053,004546.82-002439.3,11.44511890411377,-0.41092801094055176,8.702647191520956,0.1679711759994566,228272,11.44511,-0.4109100000000001,1.24
5938,5937,204947.63-010630.3,312.448486328125,-1.1084270477294922,9.130590468308961,0.1122691491824847,3657987,312.448486,-1.108428,1.6686
6006,6005,205303.72-010442.8,313.2655029296875,-1.0785650014877322,8.788037674701188,0.20909404543651386,3522867,313.265503,-1.078563,3.1155
7532,7531,223045.05-000538.2,337.687744140625,-0.09395900368690492,8.278072176788601,0.35212943701457483,1092990,337.687744,-0.093962,0.5514
6491,6490,213941.90+003139.0,324.92462158203125,0.5275149941444397,9.157244222425623,0.12752368456678573,2355167,324.924622,0.527515,1.6034
603,603,002750.24-004812.3,6.95936918258667,-0.8034170269966125,7.691797745540844,0.07835008414934634,4133005,6.959366,-0.803413,1.9737
5799,5798,204303.19-001235.2,310.7633056640625,-0.2097949981689453,9.117033810967907,0.08734273332626791,3474412,310.763306,-0.209795,1.5077
4418,4418,025957.85+003454.2,44.9910774230957,0.5817379951477051,8.90201649672337,0.08045574392266625,2490331,44.99107,0.581734,0.8198
6507,6506,214053.68+001230.4,325.22369384765625,0.2084600031375885,8.853872989866383,0.20071918331058586,1771285,325.223694,0.208463,1.4903
7766,7765,224500.75+010748.6,341.2531433105469,1.1301699876785278,8.238294781666267,0.10009065629840154,752345,341.253143,1.130167,0.7969
5155,5155,033006.75+001744.6,52.52813720703125,0.2957310080528259,8.215227464730003,0.4834194438243423,3723534,52.528133,0.295733,1.5156
1467,1467,010458.02+002522.0,16.241783142089847,0.4228009879589081,8.715142106659448,0.1444567903915125,593181,16.241782999999998,0.422804,1.7563
5532,5532,034255.30+004923.4,55.730445861816406,0.8231729865074158,8.724894959340881,0.24962157861465034,4895372,55.73044599999999,0.823176,1.654
6769,6768,215426.65-000430.3,328.611083984375,-0.07509099692106247,8.898402038555483,0.06868690130767012,1918213,328.611053,-0.07509099999999999,1.4029
393,393,001756.90-004723.1,4.487112045288086,-0.7897589802742004,8.968575714346937,0.33009665206799355,84284,4.48711,-0.789755,1.8138
4771,4771,031508.83+005058.8,48.78681564331055,0.8496689796447754,8.701452334998558,0.12917527809809445,3164955,48.786819,0.849671,1.4642
230,230,001043.84-001729.6,2.682703971862793,-0.29157400131225586,8.555709972852643,0.3851571617614836,77601,2.6827,-0.291569,1.296
1320,1320,005722.30+001644.6,14.342939376831055,0.2790760099887848,0.0,-1.0,225048,14.342937,0.279082,3.1472
41,41,000139.83-003713.5,0.4159770011901856,-0.6204239726066589,9.300230982304804,0.2626902961520806,117411,0.415972,-0.620423,1.8331
7247,7246,221653.79-005904.9,334.2241516113281,-0.98470801115036,9.3877405664067,0.10423227402973734,1504559,334.224152,-0.98472,2.2854
5197,5197,033141.15-001042.8,52.9214973449707,-0.17856499552726746,9.558491867765198,0.17846874101421514,3841019,52.92149000000001,-0.178566,2.1014
8273,8272,231716.41+011155.9,349.3183898925781,1.1988719701766968,8.215255530758286,0.3625046736571725,574019,349.31839,1.198875,1.8974
9154,9153,235608.43+002029.4,359.03515625,0.34152600169181824,8.988344437214195,0.12766208541083307,3911176,359.0351560000001,0.341528,1.7215
1729,1729,011724.54-002120.5,19.352251052856445,-0.3557040095329285,9.22340443064138,0.10516697008747382,584531,19.352249,-0.35570100000000004,2.8928
3799,3799,023703.84+003923.2,39.26603698730469,0.6564480066299438,8.137378727809535,0.7659633751814062,2102168,39.266029,0.656449,1.1503
1530,1530,010730.00+000356.8,16.875024795532227,0.06579200178384781,8.873306818514402,0.2184753524422438,609596,16.875021,0.06579700000000001,1.7529
8516,8515,232757.95-002058.8,351.991455078125,-0.3496820032596588,8.827501916056908,0.08460241321862041,296243,351.991455,-0.34968,1.0742
2766,2766,020012.05-002755.1,30.05023765563965,-0.4653170108795166,8.921801056845869,0.10147656627350646,1713364,30.05023,-0.465316,1.5567
