my_ID,ID,MJD,ra,dec,Mass,z,ERR,M_i,spec_mjd,ra.1,dec.1,u_band,g_band,r_band,i_band,z_band,ug,gr,ri,iz,zu
26208,1115-52914-0007 ,52914,314.30008,-1.0004841,8.875969834,1.1125,0.140379576,-24.913067,52914,314.3001,-1.000483,19.78185,19.78577,19.54136,19.64794,19.78252,-0.00392,0.24441,-0.10658,-0.13458,0.00067
4980,4227-55481-0698 ,55481,18.301364,0.10406898,8.696943097,0.97,0.072936862,-23.782749,55481,18.30136,0.1040672,21.21089,20.91548,20.52289,20.43063,20.13548,0.29541,0.39259,0.09226,0.29515,-1.07541
19014,0413-51929-0038 ,51929,50.956379,-0.49715615,8.922217135,1.6282,0.171157975,-27.326433,51929,50.9564,-0.497188,17.91279,17.85989,17.74414,17.58446,17.56373,0.0529,0.11575,0.15968,0.02073,-0.34906
19766,4191-55444-0740 ,55444,317.84547,0.04198386,8.706625704,2.488,0.055179865,-25.403891,55444,317.8455,0.04198414,21.16957,20.65468,20.67491,20.75509,20.42926,0.51489,-0.02023,-0.08018,0.32583,-0.74031
14817,8789-57358-0532 ,57358,16.80969,0.20173981,8.784466215,1.9,0.296298877,-23.355062,57358,16.80969,0.2017398,22.50254,22.32988,22.45208,22.07548,21.88379,0.17266,-0.1222,0.3766,0.19169,-0.61875
1471,6780-56605-0097 ,56605,37.986605,-0.83152501,8.538801016,1.633,0.172269773,-24.16473,56605,37.98661,-0.8315573,21.429,21.24354,21.23129,20.91733,21.01547,0.18546,0.01225,0.31396,-0.09814,-0.41353
2852,7866-57002-0587 ,57002,6.1194602,0.65219351,7.836734475,2.1253505,0.146982656,-25.196442,57002,6.11946,0.6521935,21.43593,21.19032,21.02956,20.94995,20.64214,0.24561,0.16076,0.07961,0.30781,-0.79379
28039,5141-55746-0418 ,55746,317.65191,0.75393955,8.657352865,0.9,0.036210316,-24.20261,55746,317.6519,0.7539332,19.55498,19.37761,19.27247,19.38967,19.36993,0.17737,0.10514,-0.1172,0.01974,-0.18505
6099,6781-56274-0624 ,56274,38.390015,1.2334973,8.195434715,0.945,0.089386924,-22.976791,56274,38.39002,1.233481,21.20942,21.15137,21.03232,20.88929,20.42105,0.05805,0.11905,0.14303,0.46824,-0.78837
4934,7866-57002-0823 ,57002,7.1503209,1.1224563,8.670236277,2.836,0.053513037,-26.053095,57002,7.150316,1.122456,22.55864,21.15286,20.82816,21.02754,21.06401,1.40578,0.3247,-0.19938,-0.03647,-1.49463
14157,4225-55455-0495 ,55455,14.01065,-0.034171051,8.684188964,2.377,0.031448689,-26.789602,55455,14.01065,-0.03417195,20.16098,19.59625,19.57911,19.50466,19.21492,0.56473,0.01714,0.07445,0.28974,-0.94606
6160,7840-57003-0852 ,57003,28.743437,0.41322987,7.650804536,2.218475,0.160418619,-24.097242,57003,28.74343,0.4132304,22.55955,22.04345,22.01165,21.93084,21.61493,0.5161,0.0318,0.08081,0.31591,-0.94462
17736,7874-57279-0448 ,57279,15.960721,-0.4569998,9.413880362,1.3525575,0.151292067,-24.628534,57279,15.96072,-0.4570073,21.96657,21.35637,20.59298,20.2763,20.15504,0.6102,0.76339,0.31668,0.12126,-1.81153
20391,4197-55479-0787 ,55479,328.41667,0.95067542,9.0990759,2.757,0.180210006,-27.063873,55479,328.4167,0.9506469,20.85411,19.95737,19.7481,19.67001,19.62212,0.89674,0.20927,0.07809,0.04789,-1.23199
25002,5146-55831-0169 ,55831,327.5866,0.29842024,8.099682348,0.834,0.125513067,-23.721254,55831,327.5866,0.2984152,20.47625,20.17986,19.99085,19.99689,19.79035,0.29639,0.18901,-0.00604,0.20654,-0.6859
3753,8792-57364-0272 ,57364,24.412132,-0.30406276,8.113367589,2.1645863,0.243349505,-23.316788,57364,24.41213,-0.304105,23.4953,22.77891,22.5852,22.44646,21.84572,0.71639,0.19371,0.13874,0.60074,-1.64958
10191,7834-56979-0571 ,56979,32.136635,0.058661023,7.49930406,0.9461683,0.096127698,-22.824738,56979,32.13663,0.05866103,21.50958,20.71068,20.8295,21.43923,21.06569,0.7989,-0.11882,-0.60973,0.37354,-0.44389
11127,7834-56979-0424 ,56979,32.197765,-0.72011025,8.793946614,1.0421659,0.057522381,-24.263348,56979,32.19777,-0.7201262,21.72872,20.97758,20.10915,19.87363,19.66624,0.75114,0.86843,0.23552,0.20739,-2.06248
8047,7872-57279-0690 ,57279,13.731684,0.36197903,7.844200241,1.4550346,0.180291798,-23.807102,57279,13.73168,0.361979,21.4864,21.32178,21.25982,21.15885,21.02781,0.16462,0.06196,0.10097,0.13104,-0.45859
20768,4192-55469-0442 ,55469,318.51731,-0.91070569,8.104889969,2.829,0.107176733,-25.925751,55469,318.5173,-0.910708,22.00867,20.91293,20.80298,20.99463,20.863,1.09574,0.10995,-0.19165,0.13163,-1.14567
2036,7862-56984-0628 ,56984,1.1726286,1.2209568,8.087282183,1.2060407,0.205409814,-23.23864,56984,1.172629,1.220957,21.63561,21.58765,21.27609,21.19863,21.07814,0.04796,0.31156,0.07746,0.12049,-0.55747
1094,4233-55449-0130 ,55449,29.456453,-0.93591341,8.628814953,2.148,0.124696059,-24.436129,55449,29.45645,-0.9359115,22.16607,21.85191,21.85004,21.76012,21.47005,0.31416,0.00187,0.08992,0.29007,-0.69602
25629,1115-52914-0214 ,52914,313.23235,-0.88948979,8.581781222,1.5635,0.248508311,-25.254168,52914,313.2323,-0.889487,20.45287,20.32138,20.26907,20.0673,20.11792,0.13149,0.05231,0.20177,-0.05062,-0.33495
27423,4208-55476-0005 ,55476,347.94266,-0.586383,8.776991018,1.867,0.140317524,-25.483131,55476,347.9427,-0.5863893,20.39113,20.2946,20.25281,19.94506,19.89211,0.09653,0.04179,0.30775,0.05295,-0.49902
16678,7828-57039-0496 ,57039,35.96999,-0.4004617,8.67037015,1.794112,0.211005561,-24.642694,57016,35.96999,-0.4004617,21.93336,21.48221,21.28103,20.82401,20.65552,0.45115,0.20118,0.45702,0.16849,-1.27784
20281,4205-55454-0730 ,55454,341.45824,0.52616711,8.506006717,2.768,0.127257316,-25.054262,55454,341.4583,0.5261611,22.40872,21.51447,21.42234,21.55156,21.59848,0.89425,0.09213,-0.12922,-0.04692,-0.81024
27822,4209-55478-0098 ,55478,349.24424,-0.71283913,8.489493321,1.082,0.14636275,-24.020206,55478,349.2442,-0.7128372,20.77367,20.51906,20.20307,20.20859,20.10449,0.25461,0.31599,-0.00552,0.1041,-0.66918
19525,0714-52201-0129 ,52201,55.380301,-1.2344637,9.026843974,1.7909,0.276306632,-25.861217,52201,55.3803,-1.234458,19.62475,19.60665,19.57047,19.32358,19.33788,0.0181,0.03618,0.24689,-0.0143,-0.28687
18272,7840-57003-0969 ,57003,29.356436,0.29076864,8.216778868,1.5452803,0.250326528,-23.7495,57003,29.35644,0.2907687,21.85245,21.63205,21.59526,21.34145,21.45055,0.2204,0.03679,0.25381,-0.1091,-0.4019
25143,7848-56959-0937 ,56959,359.93836,0.27097857,8.809318811,2.6480124,0.074883326,-26.002834,56959,359.9384,0.2709739,22.08136,20.8609,20.65141,20.66224,20.39227,1.22046,0.20949,-0.01083,0.26997,-1.68909
15427,8793-57391-0666 ,57391,26.128815,1.177332,8.183807372,0.493798,0.111127234,-22.112202,57391,26.1288,1.177289,21.29164,20.93953,20.7829,20.34505,20.12368,0.35211,0.15663,0.43785,0.22137,-1.16796
17659,0699-52202-0303 ,52202,25.200959,-0.30550328,8.850753225,1.6606,0.054553161,-26.249012,58125,25.20097,-0.3054948,19.14692,19.07675,19.06881,18.94057,19.02793,0.07017,0.00794,0.12824,-0.08736,-0.11899
17157,7834-56979-0336 ,56979,32.638849,-0.92612433,9.127220075,2.383,0.053092373,-25.563496,56979,32.63885,-0.926124,21.13922,20.56275,20.55748,20.60534,20.29004,0.57647,0.00527,-0.04786,0.3153,-0.84918
950,7876-57002-0047 ,57002,20.073978,-0.85076979,7.823220743,1.9492632,0.14094242,-23.43926,57002,20.07398,-0.8507742,22.3245,22.34681,22.57284,22.23668,22.06273,-0.02231,-0.22603,0.33616,0.17395,-0.26177
25683,4207-55475-0724 ,55475,345.04651,0.52931654,9.010737148,2.176,0.089322793,-24.841637,55475,345.0465,0.5293195,21.7244,21.38896,21.33072,21.24676,21.03719,0.33544,0.05824,0.08396,0.20957,-0.68721
24687,4213-55449-0574 ,55449,354.07753,0.246357,8.041390663,0.826,0.095509597,-23.619871,55449,354.0775,0.2463476,20.27417,20.0717,20.05568,20.16982,20.07327,0.20247,0.01602,-0.11414,0.09655,-0.2009
3042,6781-56274-0458 ,56274,38.110576,-0.19586,9.031312559,1.729,0.044188557,-27.05018,56274,38.11058,-0.1958692,18.48832,18.41072,18.39347,18.1963,18.27024,0.0776,0.01725,0.19717,-0.07394,-0.21808
27744,1094-52524-0456 ,52524,353.19369,0.89799798,9.491625054,1.2772,0.277268613,-24.422447,52524,353.1937,0.897976,20.59881,20.35044,19.94412,19.85814,19.87794,0.24837,0.40632,0.08598,-0.0198,-0.72087
5016,7838-56958-0752 ,56958,31.794516,-1.2319281,8.582824938,2.2088692,0.047693494,-24.769554,56958,31.79451,-1.231909,21.53745,20.93084,21.01613,20.89861,20.71775,0.60661,-0.08529,0.11752,0.18086,-0.8197
6621,7867-57003-0796 ,57003,8.0974497,-0.89197233,7.42928028,2.038018,0.057101128,-23.674721,57003,8.097424,-0.8919461,22.1481,22.12757,22.27792,22.16278,21.64588,0.02053,-0.15035,0.11514,0.5169,-0.50222
18216,0405-51816-0073 ,51816,34.394318,-0.44499203,9.170094267,1.5571,0.032328026,-26.958208,58076,34.39431,-0.4449925,18.53914,18.34859,18.33338,18.19173,18.27047,0.19055,0.01521,0.14165,-0.07874,-0.26867
7678,8791-57373-0460 ,57373,21.511515,0.032247,8.769288657,1.0063491,0.063204063,-23.586866,57373,21.51151,0.03224163,20.99923,20.90542,20.51496,20.45086,20.34737,0.09381,0.39046,0.0641,0.10349,-0.65186
26627,5147-55854-0103 ,55854,329.64956,0.74766468,8.172652619,3.176,0.145198595,-25.220091,55854,329.6496,0.7476814,24.67072,22.11761,21.76199,21.70743,21.8396,2.55311,0.35562,0.05456,-0.13217,-2.83112
16398,4226-55475-0290 ,55475,16.884341,-0.46223148,9.057779294,2.496,0.155155628,-25.874083,57279,16.88434,-0.4622309,21.44012,20.81473,20.67425,20.67519,20.45661,0.62539,0.14048,-0.00094,0.21858,-0.98351
16052,0402-51793-0464 ,51793,27.23054,0.40970018,8.880226971,1.6963,0.090564396,-26.827734,58103,27.23055,0.4096921,18.56556,18.57793,18.54815,18.34912,18.31709,-0.01237,0.02978,0.19903,0.03203,-0.24847
18910,0413-51929-0143 ,51929,50.074438,0.11324447,8.733024388,0.8813,0.094508078,-24.663483,51929,50.07442,0.113277,19.36978,19.1564,18.99855,19.01852,18.92461,0.21338,0.15785,-0.01997,0.09391,-0.44517
6028,0405-51816-0131 ,51816,33.288878,-0.79312989,9.154153666,1.5153,0.043455987,-27.023893,58097,33.28889,-0.7931054,18.64135,18.27416,18.06533,17.82058,17.92289,0.36719,0.20883,0.24475,-0.10231,-0.71846
21786,0684-52523-0591 ,52523,358.94785,0.50353925,9.157220145,1.738,0.16426557,-24.433258,52523,358.9478,0.503537,20.93705,20.78984,20.95035,20.64881,20.64301,0.14721,-0.16051,0.30154,0.0058,-0.29404
18463,6782-56273-0877 ,56273,41.41633,0.92049151,8.021153025,1.253,0.131148259,-24.471804,56273,41.41634,0.9205073,20.4188,20.40892,20.16144,20.13581,20.16823,0.00988,0.24748,0.02563,-0.03242,-0.25057
27770,0673-52162-0157 ,52162,337.34947,-0.51771789,8.452580797,2.1526,0.039245498,-26.98876,57687,337.3495,-0.5177174,19.56123,19.12429,18.98701,18.66161,18.40356,0.43694,0.13728,0.3254,0.25805,-1.15767
20175,4216-55477-0600 ,55477,359.51919,0.7053434,8.194603811,0.679,0.161029485,-23.034475,55477,359.5192,0.7053415,20.73314,20.3476,20.29472,20.09006,19.92601,0.38554,0.05288,0.20466,0.16405,-0.80713
27625,1107-52968-0144 ,52968,328.07885,-0.49103926,8.477480352,1.173,0.129139045,-24.152277,52968,328.0788,-0.491032,20.57299,20.31114,19.93089,19.94706,19.97162,0.26185,0.38025,-0.01617,-0.02456,-0.60137
19135,0414-51901-0595 ,51901,52.176496,0.78464991,8.904276162,1.3106,0.031220624,-25.220808,51901,52.17649,0.784661,19.58857,19.57409,19.24274,19.2405,19.34879,0.01448,0.33135,0.00224,-0.10829,-0.23978
15545,7840-57003-0718 ,57003,28.263016,0.61969096,9.250528685,1.879,0.272304241,-23.780626,57003,28.26296,0.6197175,22.55413,22.23444,22.23366,21.80206,21.73688,0.31969,0.00078,0.4316,0.06518,-0.81725
1936,7820-56984-0615 ,56984,43.483673,0.18255,9.046770959,1.6960487,0.04887956,-25.778837,56984,43.48365,0.182596,19.59853,19.54096,19.52187,19.20358,19.21753,0.05757,0.01909,0.31829,-0.01395,-0.381
6563,0404-51812-0255 ,51812,30.788366,-0.82018753,7.924199272,0.5534,0.128482616,-24.216516,51812,30.7884,-0.820176,18.978,18.63706,18.69402,18.50532,18.50792,0.34094,-0.05696,0.1887,-0.0026,-0.47008
17607,4231-55444-0298 ,55444,25.19884,-0.91328607,8.981420877,1.162,0.079455883,-23.587774,55444,25.19884,-0.9132877,21.41133,21.15031,20.65716,20.7925,20.74497,0.26102,0.49315,-0.13534,0.04753,-0.66636
18707,6782-56572-0525 ,56572,39.662259,0.72361901,8.761603118,1.215,0.072743286,-24.271082,56572,39.66224,0.7236285,20.64803,20.63446,20.38832,20.45241,20.49959,0.01357,0.24614,-0.06409,-0.04718,-0.14844
13183,4235-55451-0209 ,55451,32.333616,-1.0885002,8.89840209,2.725,0.217771683,-25.361563,56979,32.33362,-1.088505,21.99934,21.25839,21.16131,21.16921,21.01544,0.74095,0.09708,-0.0079,0.15377,-0.9839
27936,4200-55499-0688 ,55499,332.9177,0.53515108,9.027009692,2.823,0.082434497,-27.178349,55499,332.9177,0.5351521,21.00811,19.68302,19.48597,19.3627,19.40275,1.32509,0.19705,0.12327,-0.04005,-1.60536
10426,0387-51791-0111 ,51791,0.60874878,0.09695876,8.873830891,1.6506,0.089996396,-26.817835,58018,0.6087508,0.09697914,18.75121,18.69999,18.69556,18.4936,18.48935,0.05122,0.00443,0.20196,0.00425,-0.26186
2454,4223-55451-0662 ,55451,11.562382,1.133827,8.649881484,1.105,0.119868709,-23.864735,55451,11.56239,1.133833,20.45582,20.38377,20.1834,20.25237,20.26395,0.07205,0.20037,-0.06897,-0.01158,-0.19187
21016,0675-52590-0155 ,52590,341.5755,-0.32400923,9.100003606,1.7845,0.053522869,-25.904779,57693,341.5755,-0.3240382,19.59168,19.59404,19.62101,19.40858,19.42112,-0.00236,-0.02697,0.21243,-0.01254,-0.17056
18190,4237-55478-0564 ,55478,34.391712,0.245365,8.776604852,0.962,0.109315848,-23.020618,55478,34.3917,0.2453653,22.11834,21.45533,21.21878,21.35607,20.98199,0.66301,0.23655,-0.13729,0.37408,-1.13635
1919,7866-57002-0574 ,57002,6.0752007,0.38286042,8.431078175,1.9086394,0.058030563,-24.710182,57002,6.075201,0.3828604,21.15511,21.21056,21.29722,20.95498,20.93115,-0.05545,-0.08666,0.34224,0.02383,-0.22396
